snapshot_id,snapshot_month,teacher_id,teacher_name,teacher_status,teacher_start_date,new_teacher_flag,availability_slot_count,weekly_available_hours,scheduled_hours_in_month,estimated_monthly_capacity,remaining_available_hours
CAP-202607-T001,2026-07,T001,Pablo,授课中,2025-03-26,否,2,5.0,13.51,21.65,8.14
CAP-202607-T002,2026-07,T002,Claudia,授课中,2025-05-20,否,4,10.0,0.0,43.3,43.3
CAP-202607-T003,2026-07,T003,Sandra,授课中,2025-05-10,否,4,9.0,26.69,38.97,12.28
CAP-202607-T004,2026-07,T004,Elena,停止授课/离职,2025-04-27,否,0,0.0,27.52,0.0,0.0
CAP-202607-T005,2026-07,T005,Daniel,授课中,2025-06-12,否,3,6.0,5.5,25.98,20.48
CAP-202607-T006,2026-07,T006,Pilar,停止授课/离职,2025-04-27,否,3,9.0,43.7,38.97,0.0
CAP-202607-T007,2026-07,T007,Raul,授课中,2025-05-08,否,3,7.0,6.0,30.31,24.31
CAP-202607-T008,2026-07,T008,Marina,授课中,2025-06-29,否,2,5.0,12.84,21.65,8.81
CAP-202607-T009,2026-07,T009,Anna,授课中,2025-04-24,否,4,8.0,13.17,34.64,21.47
CAP-202607-T010,2026-07,T010,Carmen,授课中,2025-05-14,否,3,7.0,27.35,30.31,2.96
CAP-202607-T011,2026-07,T011,Lucia,授课中,2025-04-28,否,3,7.0,9.84,30.31,20.47
CAP-202607-T012,2026-07,T012,Miguel,停止授课/离职,2025-03-31,否,0,0.0,15.51,0.0,0.0
CAP-202607-T013,2026-07,T013,Alba,授课中,2025-03-03,否,3,7.0,20.17,30.31,10.14
CAP-202607-T014,2026-07,T014,Javier,停止授课/离职,2025-03-24,否,4,10.0,31.84,43.3,11.46
CAP-202607-T015,2026-07,T015,Sara,停止授课/离职,2025-06-17,否,2,6.0,35.01,25.98,0.0
CAP-202607-T016,2026-07,T016,Diego,授课中,2025-06-21,否,4,8.0,9.0,34.64,25.64
CAP-202607-T017,2026-07,T017,Natalia,授课中,2025-06-26,否,4,9.0,38.53,38.97,0.44
CAP-202607-T018,2026-07,T018,Carlos,授课中,2025-04-15,否,3,7.0,7.67,30.31,22.64
CAP-202607-T019,2026-07,T019,Rocio,授课中,2025-04-17,否,2,6.0,25.68,25.98,0.3
CAP-202607-T020,2026-07,T020,Consuelo,授课中,2025-05-20,否,3,8.0,5.84,34.64,28.8
CAP-202607-T021,2026-07,T021,Salma,授课中,2026-07-01,是,4,20.0,0.0,86.6,86.6
CAP-202607-T022,2026-07,T022,Eva,授课中,2026-07-01,是,5,27.0,0.0,116.91,116.91
CAP-202607-T023,2026-07,T023,Juan,授课中,2026-07-19,是,4,17.0,0.0,73.61,73.61
CAP-202607-T024,2026-07,T024,Cecilia,授课中,2026-07-15,是,6,28.0,0.0,121.24,121.24
CAP-202607-T025,2026-07,T025,Mateo,授课中,2026-07-08,是,6,32.0,0.0,138.56,138.56
CAP-202607-T026,2026-07,T026,Irene,授课中,2026-07-07,是,6,29.0,0.0,125.57,125.57
CAP-202607-T027,2026-07,T027,Adrian,授课中,2026-07-08,是,6,31.0,0.0,134.23,134.23
CAP-202607-T028,2026-07,T028,Laura,授课中,2026-07-11,是,4,20.0,3.0,86.6,83.6
CAP-202607-T029,2026-07,T029,Fernando,授课中,2026-07-08,是,6,32.0,0.0,138.56,138.56
CAP-202607-T030,2026-07,T030,Beatriz,授课中,2026-07-03,是,6,32.0,0.0,138.56,138.56
CAP-202608-T001,2026-08,T001,Pablo,停止授课/离职,2025-03-26,否,2,3.0,9.5,12.99,3.49
CAP-202608-T002,2026-08,T002,Claudia,授课中,2025-05-20,否,3,6.0,0.0,25.98,25.98
CAP-202608-T003,2026-08,T003,Sandra,停止授课/离职,2025-05-10,否,2,4.0,35.7,17.32,0.0
CAP-202608-T004,2026-08,T004,Elena,停止授课/离职,2025-04-27,否,0,0.0,21.18,0.0,0.0
CAP-202608-T005,2026-08,T005,Daniel,授课中,2025-06-12,否,2,5.0,5.67,21.65,15.98
CAP-202608-T006,2026-08,T006,Pilar,停止授课/离职,2025-04-27,否,0,0.0,40.52,0.0,0.0
CAP-202608-T007,2026-08,T007,Raul,授课中,2025-05-08,否,2,5.0,5.84,21.65,15.81
CAP-202608-T008,2026-08,T008,Marina,授课中,2025-06-29,否,3,6.0,10.17,25.98,15.81
CAP-202608-T009,2026-08,T009,Anna,授课中,2025-04-24,否,3,7.0,11.34,30.31,18.97
CAP-202608-T010,2026-08,T010,Carmen,授课中,2025-05-14,否,3,7.0,40.86,30.31,0.0
CAP-202608-T011,2026-08,T011,Lucia,授课中,2025-04-28,否,2,4.0,15.01,17.32,2.31
CAP-202608-T012,2026-08,T012,Miguel,停止授课/离职,2025-03-31,否,0,0.0,19.35,0.0,0.0
CAP-202608-T013,2026-08,T013,Alba,授课中,2025-03-03,否,2,4.0,22.51,17.32,0.0
CAP-202608-T014,2026-08,T014,Javier,停止授课/离职,2025-03-24,否,0,0.0,29.68,0.0,0.0
CAP-202608-T015,2026-08,T015,Sara,停止授课/离职,2025-06-17,否,0,0.0,32.85,0.0,0.0
CAP-202608-T016,2026-08,T016,Diego,授课中,2025-06-21,否,2,4.0,4.5,17.32,12.82
CAP-202608-T017,2026-08,T017,Natalia,授课中,2025-06-26,否,2,4.0,43.87,17.32,0.0
CAP-202608-T018,2026-08,T018,Carlos,授课中,2025-04-15,否,3,5.0,5.17,21.65,16.48
CAP-202608-T019,2026-08,T019,Rocio,授课中,2025-04-17,否,3,8.0,23.18,34.64,11.46
CAP-202608-T020,2026-08,T020,Consuelo,授课中,2025-05-20,否,2,6.0,7.34,25.98,18.64
CAP-202608-T021,2026-08,T021,Salma,授课中,2026-07-01,是,5,20.0,0.0,86.6,86.6
CAP-202608-T022,2026-08,T022,Eva,授课中,2026-07-01,是,4,15.0,0.0,64.95,64.95
CAP-202608-T023,2026-08,T023,Juan,授课中,2026-07-19,是,3,11.0,0.0,47.63,47.63
CAP-202608-T024,2026-08,T024,Cecilia,授课中,2026-07-15,是,4,19.0,0.0,82.27,82.27
CAP-202608-T025,2026-08,T025,Mateo,授课中,2026-07-08,是,5,19.0,0.0,82.27,82.27
CAP-202608-T026,2026-08,T026,Irene,授课中,2026-07-07,是,4,17.0,0.0,73.61,73.61
CAP-202608-T027,2026-08,T027,Adrian,授课中,2026-07-08,是,5,19.0,0.0,82.27,82.27
CAP-202608-T028,2026-08,T028,Laura,授课中,2026-07-11,是,5,22.0,4.67,95.26,90.59
CAP-202608-T029,2026-08,T029,Fernando,授课中,2026-07-08,是,5,22.0,0.0,95.26,95.26
CAP-202608-T030,2026-08,T030,Beatriz,授课中,2026-07-03,是,3,9.0,0.0,38.97,38.97
