学生姓名,课程类型,教师,课程序号,上课日期,中文星期,西班牙语星期,英语星期,西班牙时间,学生当地时间,时差,课时计算,当日学习内容,页数,教师反馈
Tiger_460,私教,Rocio,L000026,2026-03-28,周六,sábado,Saturday,10:00,17:00,+7h,1.0,阅读,14,完成本节内容
Tiger460,一对一,Rocio,L000027,2026/04/04,周六,sábado,Saturday,10:00,16:00,+6h,1.0,语法,4,课堂参与积极
Tiger_460,1V1,Rocio,L000028,2026-04-11,周六,sábado,Saturday,10:00,16:00,+6h,1.67,阅读,11,语法掌握一般
Tiger_460,一对一,Rocio,L000029,2026-04-18,周六,sábado,Saturday,10:00,16:00,+6h,1.67,阅读,3,语法掌握一般
Tiger460,1V1,Rocio,L000030,2026-04-25,周六,sábado,Saturday,10:00,15:00,+5h,1.0,听力,4,课堂参与积极
Tiger_460,私教,Rocio,L000031,2026-05-02,周六,sábado,Saturday,10:00,16:00,+6h,1.67,听力,8,语法掌握一般
Tiger_460,1V1,Rocio,L000032,2026-05-09,周六,sábado,Saturday,10:00,16:00,+6h,2.0,口语,3,需要加强口语练习
Tiger_460,1V1,Rocio,L000033,2026年5月16日,周六,sábado,Saturday,10:00,16:00,+6h,1.5,语法,7,需要加强口语练习
Tiger_460,私教,Rocio,L000034,2026年5月23日,周六,sábado,Saturday,10:00,16:00,+6h,1.67,听力,1,需要加强口语练习
Tiger_460,一对一,Rocio,L000035,2026-05-30,周六,sábado,Saturday,10:00,16:00,+6h,1.5,口语,4,需要加强口语练习
Tiger_460,1V1,Rocio,L000036,2026年6月6日,周六,sábado,Saturday,10:00,16:00,+6h,1.0,语法,10,语法掌握一般
Tiger_460,1V1,Rocio,L000037,2026/06/13,周六,sábado,Saturday,10:00,16:00,+6h,1.0,复习,8,语法掌握一般
Tiger_460（教务）,私教,Rocio,L000038,06/20/2026,周六,sábado,Saturday,10:00,18:00,+8h,1.67,听力,13,需要加强口语练习
Tiger_460（教务）,1V1,Rocio,L000039,2026-06-27,周六,sábado,Saturday,10:00,16:00,+6h,1.0,复习,9,语法掌握一般
Tiger460,一对一,Rocio,L000040,2026-07-04,周六,sábado,Saturday,10:00,16:00,+6h,1.67,复习,13,完成本节内容
Tiger_460,1V1,Rocio,L000041,2026年7月11日,周六,sábado,Saturday,10:00,16:00,+6h,1.0,口语,4,课堂参与积极
Tiger_460,1V1,Rocio,L000042,2026-07-18,周六,sábado,Saturday,10:00,16:00,+6h,1.0,阅读,11,完成本节内容
Tiger460,一对一,Rocio,L000043,07/25/2026,周六,sábado,Saturday,10:00,14:00,+4h,1.0,口语,5,完成本节内容
Tiger_460,一对一,Rocio,L000044,2026年8月1日,周六,sábado,Saturday,10:00,16:00,+6h,2.0,听力,1,课堂参与积极
Tiger_460,一对一,Rocio,L000045,08/08/2026,周六,sábado,Saturday,10:00,16:00,+6h,1.0,口语,13,语法掌握一般
Tiger_460,私教,Rocio（教务）,L000046,2026-08-15,周六,sábado,Saturday,10:00,15:00,+5h,1.0,语法,8,语法掌握一般
Tiger_460,一对一,Rocio,L000047,2026-08-22,周六,sábado,Saturday,10:00,16:00,+6h,1.0,语法,9,课堂参与积极
Tiger_460,1V1,Rocio,L000048,2026-08-29,周六,sábado,Saturday,10:00,16:00,+6h,1.5,语法,4,完成本节内容
Alice_149,小组课,Natalia,L000049,2025-11-15,周六,sábado,Saturday,18:00,17:00,-1h,1.67,语法,8,语法掌握一般
Sarah_298,小组课,Natalia,L000049,2025年11月15日,周六,sábado,Saturday,18:00,01:00,+7h,1.67,口语,13,语法掌握一般
Alice_149,班课,Natalia,L000050,2025/11/22,周六,sábado,Saturday,18:00,17:00,-1h,1.0,语法,11,语法掌握一般
Sarah298,班课,Natalia,L000050,11/22/2025,周六,sábado,Saturday,18:00,01:00,+7h,1.0,听力,5,语法掌握一般
Alice149,小组课,Natalia,L000051,2025/11/29,周六,sábado,Saturday,18:00,17:00,-1h,1.67,阅读,6,完成本节内容
Sarah_298,小组课,Natalia,L000051,2025-11-29,周六,sábado,Saturday,18:00,02:00,+8h,1.67,阅读,7,完成本节内容
Alice_149,班课,Natalia,L000052,2025-12-06,周六,sábado,Saturday,18:00,17:00,-1h,1.0,复习,6,语法掌握一般
Sarah298,班课,Natalia,L000052,2025-12-06,周六,sábado,Saturday,18:00,01:00,+7h,1.0,语法,4,语法掌握一般
Alice_149（教务）,小组课,Natalia,L000053,2025/12/13,周六,sábado,Saturday,18:00,16:00,-2h,1.0,语法,10,完成本节内容
Sarah298,小组课,Natalia,L000053,12/13/2025,周六,sábado,Saturday,18:00,04:00,+10h,1.0,口语,1,完成本节内容
Alice_149,班课,Natalia（教务）,L000054,2025年12月20日,周六,sábado,Saturday,18:00,17:00,-1h,2.0,语法,8,课堂参与积极
Sarah298,小组课,Natalia,L000054,2025/12/20,周六,sábado,Saturday,18:00,01:00,+7h,2.0,阅读,8,课堂参与积极
Alice_149,班课,Natalia,L000055,2025-12-27,周六,sábado,Saturday,18:00,17:00,-1h,1.67,语法,14,需要加强口语练习
Sarah_298,班课,Natalia（教务）,L000055,2025-12-27,周六,sábado,Saturday,18:00,01:00,+7h,1.67,口语,7,需要加强口语练习
Alice_149,班课,Natalia（教务）,L000056,2026年1月3日,周六,sábado,Saturday,18:00,17:00,-1h,1.0,阅读,10,完成本节内容
Sarah_298,小组课,Natalia（教务）,L000056,01/03/2026,周六,sábado,Saturday,18:00,01:00,+7h,1.0,阅读,4,完成本节内容
Alice_149,班课,Natalia,L000057,2026/01/10,周六,sábado,Saturday,18:00,17:00,-1h,2.0,语法,12,完成本节内容
Sarah_298,班课,Natalia,L000057,2026-01-10,周六,sábado,Saturday,18:00,01:00,+7h,2.0,阅读,9,完成本节内容
Alice_149,班课,Natalia,L000058,2026/01/17,周六,sábado,Saturday,18:00,16:00,-2h,1.67,语法,3,
Sarah_298,小组课,Natalia,L000058,2026-01-17,周六,sábado,Saturday,18:00,01:00,+7h,1.67,阅读,14,
Alice_149,小组课,Natalia,L000059,2026年1月24日,周六,sábado,Saturday,18:00,17:00,-1h,1.67,复习,8,完成本节内容
Sarah_298,班课,Natalia,L000059,2026/01/24,周六,sábado,Saturday,18:00,01:00,+7h,1.67,复习,2,完成本节内容
Alice_149,小组课,Natalia,L000060,2026-01-31,周六,sábado,Saturday,18:00,17:00,-1h,1.0,语法,14,课堂参与积极
Sarah_298,小组课,Natalia,L000060,01/31/2026,周六,sábado,Saturday,18:00,01:00,+7h,1.0,听力,13,课堂参与积极
Alice_149,小组课,Natalia,L000061,02/07/2026,周六,sábado,Saturday,18:00,17:00,-1h,1.0,语法,7,需要加强口语练习
Sarah298,小组课,Natalia（教务）,L000061,2026-02-07,周六,sábado,Saturday,18:00,01:00,+7h,1.0,口语,6,需要加强口语练习
Alice_149,班课,Natalia,L000062,2026-02-14,周六,sábado,Saturday,18:00,17:00,-1h,1.0,口语,14,需要加强口语练习
Sarah_298,班课,Natalia,L000062,2026年2月14日,周六,sábado,Saturday,18:00,01:00,+7h,1.0,语法,6,需要加强口语练习
Alice_149,小组课,Natalia,L000063,2026年2月21日,周六,sábado,Saturday,18:00,17:00,-1h,1.67,语法,6,课堂参与积极
Sarah_298,班课,Natalia,L000063,2026年2月21日,周六,sábado,Saturday,18:00,01:00,+7h,1.67,复习,4,课堂参与积极
Alice149,班课,Natalia,L000064,2026/02/28,周六,sábado,Saturday,18:00,17:00,-1h,1.0,复习,7,完成本节内容
Sarah_298,小组课,Natalia,L000064,2026/02/28,周六,sábado,Saturday,18:00,01:00,+7h,1.0,口语,7,完成本节内容
Alice_149,小组课,Natalia（教务）,L000065,2026-03-07,周六,sábado,Saturday,18:00,17:00,-1h,2.0,复习,5,需要加强口语练习
Sarah_298,班课,Natalia,L000065,2026/03/07,周六,sábado,Saturday,18:00,01:00,+7h,2.0,口语,4,需要加强口语练习
Alice149,小组课,Natalia,L000066,2026年3月14日,周六,sábado,Saturday,18:00,18:00,+0h,1.0,复习,4,需要加强口语练习
Sarah298,小组课,Natalia,L000066,03/14/2026,周六,sábado,Saturday,18:00,04:00,+10h,1.0,听力,1,需要加强口语练习
Alice_149,班课,Natalia（教务）,L000067,03/21/2026,周六,sábado,Saturday,18:00,17:00,-1h,1.67,口语,12,语法掌握一般
Sarah_298（教务）,班课,Natalia,L000067,2026-03-21,周六,sábado,Saturday,18:00,23:00,+5h,1.67,口语,7,语法掌握一般
Alice_149,班课,Natalia,L000068,2026-03-28,周六,sábado,Saturday,18:00,17:00,-1h,1.0,复习,3,完成本节内容
Sarah_298,班课,Natalia,L000068,2026/03/28,周六,sábado,Saturday,18:00,01:00,+7h,1.0,复习,12,完成本节内容
Alice149,小组课,Natalia,L000069,2026/04/04,周六,sábado,Saturday,18:00,17:00,-1h,1.0,语法,2,需要加强口语练习
Sarah_298,班课,Natalia,L000069,2026/04/04,周六,sábado,Saturday,18:00,00:00,+6h,1.0,复习,4,需要加强口语练习
Alice_149,小组课,Natalia,L000070,04/11/2026,周六,sábado,Saturday,18:00,17:00,-1h,2.0,语法,11,完成本节内容
Sarah_298,小组课,Natalia（教务）,L000070,2026-04-11,周六,sábado,Saturday,18:00,00:00,+6h,2.0,语法,8,完成本节内容
Alice149,班课,Natalia,L000071,04/18/2026,周六,sábado,Saturday,18:00,18:00,+0h,1.5,语法,10,完成本节内容
Sarah_298,班课,Natalia（教务）,L000071,04/18/2026,周六,sábado,Saturday,18:00,00:00,+6h,1.5,口语,2,完成本节内容
Alice_149,班课,Natalia,L000072,2026-04-25,周六,sábado,Saturday,18:00,17:00,-1h,1.0,听力,13,课堂参与积极
Sarah_298,班课,Natalia,L000072,2026-04-25,周六,sábado,Saturday,18:00,00:00,+6h,1.0,口语,3,课堂参与积极
Alice_149,小组课,Natalia,L000073,2026年5月2日,周六,sábado,Saturday,18:00,17:00,-1h,1.5,复习,6,课堂参与积极
Sarah_298,班课,Natalia,L000073,2026/05/02,周六,sábado,Saturday,18:00,00:00,+6h,1.5,复习,3,课堂参与积极
Alice_149（教务）,班课,Natalia,L000074,2026-05-09,周六,sábado,Saturday,18:00,17:00,-1h,1.0,复习,10,完成本节内容
Sarah298,班课,Natalia,L000074,05/09/2026,周六,sábado,Saturday,18:00,00:00,+6h,1.0,复习,4,完成本节内容
Alice_149,小组课,Natalia,L000075,2026年5月16日,周六,sábado,Saturday,18:00,20:00,+2h,2.0,听力,13,完成本节内容
Sarah_298,班课,Natalia,L000075,2026/05/16,周六,sábado,Saturday,18:00,00:00,+6h,2.0,语法,5,完成本节内容
Alice149,小组课,Natalia,L000076,2026/05/23,周六,sábado,Saturday,18:00,17:00,-1h,1.0,语法,7,完成本节内容
Sarah_298,班课,Natalia,L000076,2026-05-23,周六,sábado,Saturday,18:00,00:00,+6h,1.0,语法,13,完成本节内容
Alice_149,班课,Natalia（教务）,L000077,2026/05/30,周六,sábado,Saturday,18:00,17:00,-1h,1.67,阅读,3,语法掌握一般
Sarah_298,班课,Natalia,L000077,2026-05-30,周六,sábado,Saturday,18:00,00:00,+6h,1.67,复习,10,语法掌握一般
Alice_149,小组课,Natalia,L000078,2026年6月6日,周六,sábado,Saturday,18:00,18:00,+0h,1.67,语法,5,需要加强口语练习
Sarah_298,班课,Natalia,L000078,2026/06/06,周六,sábado,Saturday,18:00,00:00,+6h,1.67,复习,11,需要加强口语练习
Alice_149,小组课,Natalia,L000079,2026-06-13,周六,sábado,Saturday,18:00,17:00,-1h,1.0,语法,14,语法掌握一般
Sarah_298（教务）,小组课,Natalia,L000079,2026-06-13,周六,sábado,Saturday,18:00,00:00,+6h,1.0,阅读,13,语法掌握一般
Alice149,班课,Natalia（教务）,L000080,2026-06-20,周六,sábado,Saturday,18:00,17:00,-1h,1.67,阅读,9,课堂参与积极
Sarah_298,班课,Natalia（教务）,L000080,2026/06/20,周六,sábado,Saturday,18:00,00:00,+6h,1.67,听力,8,课堂参与积极
Alice_149,班课,Natalia,L000081,2026/06/27,周六,sábado,Saturday,18:00,17:00,-1h,1.0,口语,11,完成本节内容
Sarah_298,班课,Natalia,L000081,2026-06-27,周六,sábado,Saturday,18:00,00:00,+6h,1.0,听力,6,完成本节内容
Alice_149（教务）,小组课,Natalia,L000082,2026-07-04,周六,sábado,Saturday,18:00,17:00,-1h,1.0,口语,5,
Sarah298,班课,Natalia,L000082,2026/07/04,周六,sábado,Saturday,18:00,00:00,+6h,1.0,口语,5,
Alice_149,小组课,Natalia,L000083,2026-07-11,周六,sábado,Saturday,18:00,17:00,-1h,1.5,口语,8,
Sarah_298（教务）,班课,Natalia,L000083,2026-07-11,周六,sábado,Saturday,18:00,23:00,+5h,1.5,复习,2,
Alice_149,小组课,Natalia,L000084,2026/07/18,周六,sábado,Saturday,18:00,17:00,-1h,2.0,语法,3,需要加强口语练习
Sarah_298（教务）,小组课,Natalia,L000084,2026/07/18,周六,sábado,Saturday,18:00,00:00,+6h,2.0,复习,6,需要加强口语练习
Alice_149（教务）,班课,Natalia,L000085,2026-07-25,周六,sábado,Saturday,18:00,17:00,-1h,1.0,复习,13,课堂参与积极
Sarah298,小组课,Natalia,L000085,2026-07-25,周六,sábado,Saturday,18:00,00:00,+6h,1.0,听力,1,课堂参与积极
Alice149,班课,Natalia,L000086,08/01/2026,周六,sábado,Saturday,18:00,17:00,-1h,1.67,口语,3,完成本节内容
Sarah_298,小组课,Natalia（教务）,L000086,2026-08-01,周六,sábado,Saturday,18:00,00:00,+6h,1.67,阅读,4,完成本节内容
Alice_149,班课,Natalia,L000087,2026-08-08,周六,sábado,Saturday,18:00,17:00,-1h,2.0,复习,3,需要加强口语练习
Sarah_298,小组课,Natalia,L000087,2026-08-08,周六,sábado,Saturday,18:00,22:00,+4h,2.0,阅读,12,需要加强口语练习
Alice_149,小组课,Natalia,L000088,2026-08-15,周六,sábado,Saturday,18:00,17:00,-1h,1.5,口语,6,完成本节内容
Sarah_298（教务）,班课,Natalia,L000088,2026-08-15,周六,sábado,Saturday,18:00,00:00,+6h,1.5,口语,7,完成本节内容
Alice_149,班课,Natalia,L000089,2026-08-22,周六,sábado,Saturday,18:00,17:00,-1h,1.67,听力,8,需要加强口语练习
Sarah_298,班课,Natalia,L000089,2026/08/22,周六,sábado,Saturday,18:00,00:00,+6h,1.67,阅读,13,需要加强口语练习
Alice_149,小组课,Natalia,L000090,2026/08/29,周六,sábado,Saturday,18:00,17:00,-1h,1.67,口语,10,完成本节内容
Sarah_298,班课,Natalia,L000090,08/29/2026,周六,sábado,Saturday,18:00,23:00,+5h,1.67,语法,14,完成本节内容
Nina_345,小组课,Carlos,L000091,2025年5月1日,周四,jueves,Thursday,17:00,17:00,+0h,1.5,口语,4,语法掌握一般
Tommy_054,班课,Carlos,L000091,2025-05-01,周四,jueves,Thursday,17:00,23:00,+6h,1.5,听力,14,语法掌握一般
Nina345,班课,Carlos,L000092,2025/05/08,周四,jueves,Thursday,17:00,16:00,-1h,1.67,语法,11,课堂参与积极
Tommy_054,小组课,Carlos,L000092,2025/05/08,周四,jueves,Thursday,17:00,00:00,+7h,1.67,口语,4,课堂参与积极
Nina345,班课,Carlos,L000093,2025/05/15,周四,jueves,Thursday,17:00,17:00,+0h,1.67,口语,8,完成本节内容
Tommy_054,班课,Carlos,L000093,2025年5月15日,周四,jueves,Thursday,17:00,23:00,+6h,1.67,口语,12,完成本节内容
Nina_345,班课,Carlos,L000094,2025-05-22,周四,jueves,Thursday,17:00,17:00,+0h,1.67,听力,1,需要加强口语练习
Tommy_054,小组课,Carlos,L000094,2025-05-22,周四,jueves,Thursday,17:00,23:00,+6h,1.67,阅读,4,需要加强口语练习
Nina_345,小组课,Carlos,L000095,2025-05-29,周四,jueves,Thursday,17:00,16:00,-1h,2.0,语法,1,语法掌握一般
Tommy_054,小组课,Carlos,L000095,2025-05-29,周四,jueves,Thursday,17:00,23:00,+6h,2.0,语法,7,语法掌握一般
Nina_345（教务）,班课,Carlos,L000096,06/05/2025,周四,jueves,Thursday,17:00,17:00,+0h,1.0,语法,11,需要加强口语练习
Tommy_054,班课,Carlos,L000096,2025年6月5日,周四,jueves,Thursday,17:00,23:00,+6h,1.0,阅读,6,需要加强口语练习
Nina_345,班课,Carlos,L000097,2025/06/12,周四,jueves,Thursday,17:00,17:00,+0h,1.67,口语,6,完成本节内容
Tommy_054,班课,Carlos,L000097,06/12/2025,周四,jueves,Thursday,17:00,23:00,+6h,1.67,阅读,7,完成本节内容
Nina_345,小组课,Carlos,L000098,2025年6月19日,周四,jueves,Thursday,17:00,17:00,+0h,1.0,听力,13,完成本节内容
Tommy_054（教务）,小组课,Carlos（教务）,L000098,2025-06-19,周四,jueves,Thursday,17:00,22:00,+5h,1.0,语法,3,完成本节内容
Nina_345,班课,Carlos,L000099,2025-06-26,周四,jueves,Thursday,17:00,17:00,+0h,1.5,听力,10,完成本节内容
Tommy_054,小组课,Carlos,L000099,06/26/2025,周四,jueves,Thursday,17:00,23:00,+6h,1.5,口语,13,完成本节内容
Nina345,小组课,Carlos,L000100,2025-07-03,周四,jueves,Thursday,17:00,17:00,+0h,1.67,复习,5,完成本节内容
Tommy_054（教务）,小组课,Carlos,L000100,2025-07-03,周四,jueves,Thursday,17:00,23:00,+6h,1.67,听力,12,完成本节内容
Nina_345,班课,Carlos,L000101,2025-07-10,周四,jueves,Thursday,17:00,17:00,+0h,1.5,复习,12,完成本节内容
Tommy_054,班课,Carlos,L000101,07/10/2025,周四,jueves,Thursday,17:00,23:00,+6h,1.5,语法,4,完成本节内容
Nina_345（教务）,班课,Carlos,L000102,2025-07-17,周四,jueves,Thursday,17:00,17:00,+0h,2.0,语法,7,需要加强口语练习
Tommy_054,小组课,Carlos,L000102,2025-07-17,周四,jueves,Thursday,17:00,23:00,+6h,2.0,语法,8,需要加强口语练习
Nina_345,班课,Carlos,L000103,2025/07/24,周四,jueves,Thursday,17:00,17:00,+0h,1.67,听力,12,需要加强口语练习
Tommy_054,小组课,Carlos,L000103,2025/07/24,周四,jueves,Thursday,17:00,23:00,+6h,1.67,复习,8,需要加强口语练习
Nina_345,班课,Carlos,L000104,2025/07/31,周四,jueves,Thursday,17:00,16:00,-1h,1.0,口语,5,课堂参与积极
Tommy_054,班课,Carlos,L000104,2025年7月31日,周四,jueves,Thursday,17:00,23:00,+6h,1.0,口语,9,课堂参与积极
Nina_345,小组课,Carlos,L000105,2025-08-07,周四,jueves,Thursday,17:00,17:00,+0h,1.67,口语,12,语法掌握一般
Tommy_054,小组课,Carlos,L000105,08/07/2025,周四,jueves,Thursday,17:00,23:00,+6h,1.67,语法,4,语法掌握一般
Nina345,小组课,Carlos,L000106,2025/08/14,周四,jueves,Thursday,17:00,17:00,+0h,1.0,语法,4,需要加强口语练习
Tommy_054,班课,Carlos（教务）,L000106,2025年8月14日,周四,jueves,Thursday,17:00,01:00,+8h,1.0,阅读,2,需要加强口语练习
Nina_345,班课,Carlos,L000107,08/21/2025,周四,jueves,Thursday,17:00,17:00,+0h,1.0,语法,1,语法掌握一般
Tommy_054,小组课,Carlos,L000107,2025/08/21,周四,jueves,Thursday,17:00,00:00,+7h,1.0,阅读,4,语法掌握一般
Nina_345,小组课,Carlos（教务）,L000108,2025/08/28,周四,jueves,Thursday,17:00,17:00,+0h,1.0,复习,13,课堂参与积极
Tommy_054,班课,Carlos,L000108,2025-08-28,周四,jueves,Thursday,17:00,23:00,+6h,1.0,阅读,13,课堂参与积极
Nina_345,小组课,Carlos,L000109,2025-09-04,周四,jueves,Thursday,17:00,17:00,+0h,1.0,复习,7,完成本节内容
Tommy_054,小组课,Carlos,L000109,2025-09-04,周四,jueves,Thursday,17:00,23:00,+6h,1.0,语法,5,完成本节内容
Nina_345,班课,Carlos,L000110,2025-09-11,周四,jueves,Thursday,17:00,17:00,+0h,1.0,阅读,12,课堂参与积极
Tommy_054,小组课,Carlos,L000110,2025-09-11,周四,jueves,Thursday,17:00,23:00,+6h,1.0,语法,13,课堂参与积极
Nina345,小组课,Carlos,L000111,2025-09-18,周四,jueves,Thursday,17:00,17:00,+0h,1.0,语法,5,完成本节内容
Tommy_054,班课,Carlos（教务）,L000111,2025-09-18,周四,jueves,Thursday,17:00,23:00,+6h,1.0,口语,12,完成本节内容
Nina_345,小组课,Carlos,L000112,2025年9月25日,周四,jueves,Thursday,17:00,15:00,-2h,1.67,语法,5,课堂参与积极
Tommy_054,小组课,Carlos（教务）,L000112,2025-09-25,周四,jueves,Thursday,17:00,23:00,+6h,1.67,听力,13,课堂参与积极
Nina345,班课,Carlos,L000113,2025-10-02,周四,jueves,Thursday,17:00,17:00,+0h,1.67,听力,9,完成本节内容
Tommy_054,班课,Carlos,L000113,2025/10/02,周四,jueves,Thursday,17:00,23:00,+6h,1.67,复习,2,完成本节内容
Nina_345,班课,Carlos,L000114,2025年10月9日,周四,jueves,Thursday,17:00,17:00,+0h,1.0,听力,13,课堂参与积极
Tommy_054,班课,Carlos,L000114,2025-10-09,周四,jueves,Thursday,17:00,22:00,+5h,1.0,听力,7,课堂参与积极
Nina345,班课,Carlos,L000115,2025/10/16,周四,jueves,Thursday,17:00,17:00,+0h,2.0,语法,4,语法掌握一般
Tommy_054,班课,Carlos,L000115,10/16/2025,周四,jueves,Thursday,17:00,23:00,+6h,2.0,口语,12,语法掌握一般
Nina_345（教务）,班课,Carlos,L000116,2025-10-23,周四,jueves,Thursday,17:00,17:00,+0h,1.0,语法,13,完成本节内容
Tommy_054,班课,Carlos,L000116,2025/10/23,周四,jueves,Thursday,17:00,23:00,+6h,1.0,口语,10,完成本节内容
Nina_345,班课,Carlos,L000117,2025/10/30,周四,jueves,Thursday,17:00,17:00,+0h,1.67,语法,10,完成本节内容
Tommy_054,班课,Carlos,L000117,2025-10-30,周四,jueves,Thursday,17:00,03:00,+10h,1.67,阅读,13,完成本节内容
Nina_345,班课,Carlos（教务）,L000118,2025-11-06,周四,jueves,Thursday,17:00,17:00,+0h,2.0,口语,8,需要加强口语练习
Tommy_054,小组课,Carlos,L000118,2025-11-06,周四,jueves,Thursday,17:00,00:00,+7h,2.0,口语,3,需要加强口语练习
Nina_345,小组课,Carlos,L000119,2025年11月13日,周四,jueves,Thursday,17:00,17:00,+0h,1.0,听力,8,
Tommy_054,小组课,Carlos,L000119,2025-11-13,周四,jueves,Thursday,17:00,00:00,+7h,1.0,阅读,9,
Nina_345,班课,Carlos,L000120,2025-11-20,周四,jueves,Thursday,17:00,17:00,+0h,1.0,口语,2,需要加强口语练习
Tommy054,小组课,Carlos,L000120,2025-11-20,周四,jueves,Thursday,17:00,00:00,+7h,1.0,复习,7,需要加强口语练习
Nina_345（教务）,小组课,Carlos（教务）,L000121,2025-11-27,周四,jueves,Thursday,17:00,17:00,+0h,1.0,口语,12,需要加强口语练习
Tommy054,小组课,Carlos,L000121,11/27/2025,周四,jueves,Thursday,17:00,00:00,+7h,1.0,口语,3,需要加强口语练习
Nina_345,小组课,Carlos,L000122,2025-12-04,周四,jueves,Thursday,17:00,19:00,+2h,1.67,语法,4,需要加强口语练习
Tommy_054,小组课,Carlos,L000122,2025/12/04,周四,jueves,Thursday,17:00,00:00,+7h,1.67,阅读,12,需要加强口语练习
Nina_345,班课,Carlos,L000123,12/11/2025,周四,jueves,Thursday,17:00,17:00,+0h,1.67,阅读,13,语法掌握一般
Tommy_054,小组课,Carlos（教务）,L000123,2025/12/11,周四,jueves,Thursday,17:00,00:00,+7h,1.67,口语,14,语法掌握一般
Nina_345,小组课,Carlos,L000124,2025/12/18,周四,jueves,Thursday,17:00,17:00,+0h,1.67,口语,5,需要加强口语练习
Tommy054,班课,Carlos,L000124,2025-12-18,周四,jueves,Thursday,17:00,00:00,+7h,1.67,语法,3,需要加强口语练习
Nina_345,小组课,Carlos,L000125,2025-12-25,周四,jueves,Thursday,17:00,17:00,+0h,1.67,阅读,7,语法掌握一般
Tommy054,班课,Carlos,L000125,2025-12-25,周四,jueves,Thursday,17:00,02:00,+9h,1.67,口语,10,语法掌握一般
Nina_345,班课,Carlos,L000126,2026/01/01,周四,jueves,Thursday,17:00,17:00,+0h,1.0,阅读,9,需要加强口语练习
Tommy_054,小组课,Carlos,L000126,2026-01-01,周四,jueves,Thursday,17:00,00:00,+7h,1.0,听力,13,需要加强口语练习
